Date,High,Low,Open,Close,Volume,Adj Close
02-01-2013,19.821428,19.343929,19.779285,19.608213,560518000,16.985447
03-01-2013,19.631071,19.321428,19.567142,19.360714,352965200,16.771053
04-01-2013,19.236786,18.779642,19.1775,18.821428,594333600,16.3039
07-01-2013,18.90357,18.4,18.642857,18.710714,484156400,16.208
08-01-2013,18.996071,18.616072,18.900356,18.76107,458707200,16.251616
09-01-2013,18.750357,18.428213,18.660713,18.467857,407604400,15.997621
10-01-2013,18.882856,18.411428,18.876785,18.696787,601146000,16.195929
11-01-2013,18.761429,18.536428,18.607143,18.582144,350506800,16.096621
14-01-2013,18.125,17.803928,17.952856,17.919643,734207600,15.522738
15-01-2013,17.821072,17.263571,17.796429,17.354286,876772400,15.033003
16-01-2013,18.194286,17.589287,17.665714,18.074642,690804800,15.657004
17-01-2013,18.241072,17.929644,18.225357,17.952856,453678400,15.551504
18-01-2013,17.936428,17.728571,17.804285,17.857143,472922800,15.468598
22-01-2013,18.138571,17.736786,18.02,18.0275,461546400,15.616171
23-01-2013,18.3925,18.0275,18.171785,18.3575,861509600,15.902021
24-01-2013,16.633215,16.080357,16.428572,16.089287,1460852400,13.937207
25-01-2013,16.293928,15.535714,16.131786,15.71,1208026400,13.608652
28-01-2013,16.186071,15.566429,15.636786,16.065357,785517600,13.916476
29-01-2013,16.435715,16.147142,16.375,16.366785,571158000,14.177587
30-01-2013,16.521429,16.232143,16.321428,16.315357,417155200,14.133034
31-01-2013,16.402857,16.249287,16.320715,16.2675,319334400,14.091582
01-02-2013,16.41,16.012501,16.396786,16.200714,539484400,14.033727
04-02-2013,16.283571,15.785714,16.211071,15.797143,477117200,13.684139
05-02-2013,16.419287,15.793571,15.858929,16.351429,573347600,14.164285
06-02-2013,16.660713,16.16357,16.3025,16.333929,593706400,14.149124
07-02-2013,16.785713,16.218571,16.544643,16.722143,704580800,14.569839
08-02-2013,17.100357,16.723213,16.928572,16.963572,633158400,14.78019
11-02-2013,17.319286,16.901787,17.017857,17.140356,517490400,14.934217
12-02-2013,17.227858,16.705,17.125357,16.710714,609053200,14.559877
13-02-2013,16.915714,16.543571,16.686071,16.678928,475207600,14.53218
14-02-2013,16.844286,16.572144,16.59,16.663929,355275200,14.519109
15-02-2013,16.79143,16.425714,16.744642,16.434286,391745200,14.319027
19-02-2013,16.526072,16.208929,16.467857,16.428213,435783600,14.313736
20-02-2013,16.346071,16.02857,16.346071,16.030357,476302400,13.967089
21-02-2013,16.041786,15.815,15.928571,15.930714,447182400,13.88027
22-02-2013,16.128571,15.95,16.044643,16.100357,330654800,14.028081
25-02-2013,16.254286,15.806071,16.208929,15.814286,372579200,13.778827
26-02-2013,16.126429,15.630714,15.850714,16.034643,501499600,13.970819
27-02-2013,16.158571,15.7375,16.015356,15.8775,587350400,13.833903
28-02-2013,15.995357,15.764286,15.858929,15.764286,322515200,13.735265
01-03-2013,15.649286,15.356429,15.642857,15.373929,552448400,13.39515
04-03-2013,15.292857,14.964286,15.278571,15.001786,582755600,13.070906
05-03-2013,15.5425,15.026786,15.052857,15.397857,638433600,13.415998
06-03-2013,15.544643,15.158214,15.518214,15.202143,460250000,13.245474
07-03-2013,15.428929,15.037857,15.160714,15.377857,468473600,13.398574
08-03-2013,15.551071,15.3075,15.35,15.418571,391482000,13.434044
11-03-2013,15.678929,15.183571,15.348214,15.638214,474236000,13.625418
12-03-2013,15.674286,15.270357,15.557143,15.301071,465911600,13.331671
13-03-2013,15.517857,15.191429,15.301786,15.298214,405549200,13.329179
14-03-2013,15.522857,15.373214,15.458214,15.446429,303875600,13.458316
15-03-2013,15.865357,15.616071,15.640357,15.845,643960800,13.80559
18-03-2013,16.337856,15.757143,15.766071,16.275715,606197200,14.180869
19-03-2013,16.463215,16.017857,16.410713,16.231787,526775200,14.142591
20-03-2013,16.343929,16.056786,16.33643,16.145714,308660800,14.067597
21-03-2013,16.356428,16.075001,16.079287,16.168928,383255600,14.087825
22-03-2013,16.503571,16.182501,16.235001,16.496786,395105200,14.373483
25-03-2013,16.78393,16.492144,16.596071,16.556429,501135600,14.425449
26-03-2013,16.637142,16.4475,16.622856,16.469286,294294000,14.34952
27-03-2013,16.314285,16.0975,16.302143,16.145714,331237200,14.067597
28-03-2013,16.136429,15.772143,16.065001,15.809286,442839600,13.77447
01-04-2013,15.846429,15.276429,15.782143,15.318214,389732000,13.346603
02-04-2013,15.647857,15.228571,15.271429,15.349643,529519200,13.373989
03-04-2013,15.617143,15.368214,15.406071,15.428214,363216000,13.442448
04-04-2013,15.535714,15.1875,15.491429,15.275714,358447600,13.309574
05-04-2013,15.176786,14.988571,15.160714,15.114286,383695200,13.168924
08-04-2013,15.267857,15.088929,15.173214,15.221786,300829200,13.262589
09-04-2013,15.303571,15.098214,15.227143,15.249286,306614000,13.28655
10-04-2013,15.609286,15.214643,15.289286,15.560357,375928000,13.55758
11-04-2013,15.6425,15.4,15.49,15.511786,328364400,13.515263
12-04-2013,15.505357,15.324643,15.505357,15.35,238613200,13.374298
15-04-2013,15.281786,14.983929,15.25,14.994643,317520000,13.064679
16-04-2013,15.236071,15.020357,15.056071,15.222857,305771200,13.263522
17-04-2013,15.021429,14.218214,15.009643,14.385714,945056000,12.534128
18-04-2013,14.4925,13.919286,14.463929,14.001786,666299200,12.199615
19-04-2013,14.271429,13.753571,13.856071,13.9475,609274400,12.152314
22-04-2013,14.364286,13.973929,14.022857,14.238214,429920400,12.405613
23-04-2013,14.585,14.243214,14.428214,14.504643,664238400,12.637753
24-04-2013,14.830357,14.017857,14.055,14.480714,969651200,12.616899
25-04-2013,14.783571,14.535714,14.686786,14.585,384837600,12.707765
26-04-2013,14.956071,14.580357,14.636071,14.9,764097600,12.982218
29-04-2013,15.486429,15,15.016071,15.361429,640326400,13.384258
30-04-2013,15.901786,15.431071,15.539286,15.813571,691538400,13.778202
01-05-2013,15.890357,15.513929,15.873571,15.688929,506909200,13.669605
02-05-2013,16.02107,15.736786,15.777857,15.911429,421828400,13.863467
03-05-2013,16.186787,16.041071,16.118214,16.070715,361300800,14.002251
06-05-2013,16.507143,16.225357,16.275356,16.45393,496641600,14.336143
07-05-2013,16.633928,16.203571,16.606071,16.380714,483753200,14.272352
08-05-2013,16.620358,16.278929,16.394285,16.565714,472598000,14.433539
09-05-2013,16.535713,16.270714,16.421785,16.313213,398487600,14.307618
10-05-2013,16.418215,16.088572,16.356071,16.1775,334852000,14.188591
13-05-2013,16.353571,16.125,16.125357,16.240713,316948800,14.24403
14-05-2013,16.257143,15.791071,16.208929,15.852143,447118000,13.903235
15-05-2013,15.75,15.084286,15.684286,15.316071,741613600,13.433069
16-05-2013,15.6375,14.960714,15.115714,15.520714,603204000,13.612553
17-05-2013,15.7175,15.393214,15.680357,15.473571,427904400,13.571204
20-05-2013,15.921429,15.360714,15.425357,15.818929,451578400,13.874104
21-05-2013,15.91,15.507143,15.648214,15.702143,456022000,13.771674
22-05-2013,16.012501,15.650714,15.858929,15.7625,443038400,13.824612
23-05-2013,15.934286,15.563929,15.569643,15.790714,353021200,13.849358
24-05-2013,15.916429,15.727143,15.744643,15.898214,276166800,13.943639
28-05-2013,16.111071,15.744643,16.067858,15.765714,386145200,13.827431
29-05-2013,15.982143,15.692857,15.714286,15.891071,330576400,13.937373
30-05-2013,16.232143,15.875357,15.916071,16.127857,353519600,14.14505
31-05-2013,16.325001,16.053572,16.160713,16.061787,384302800,14.087102
03-06-2013,16.155714,15.802857,16.0975,16.097143,372352400,14.118115
04-06-2013,16.229643,15.978214,16.186428,16.046785,292728800,14.073943
05-06-2013,16.097143,15.846786,15.916071,15.896786,290589600,13.942387
06-06-2013,15.964286,15.501786,15.909643,15.659286,416934000,13.734089
07-06-2013,15.83,15.456071,15.589286,15.778929,404535600,13.839022
10-06-2013,16.03857,15.6,15.883214,15.674643,450153200,13.747556
11-06-2013,15.812857,15.475714,15.562143,15.628571,286112400,13.707146
12-06-2013,15.758929,15.410714,15.696429,15.435357,265227200,13.537688
